speakers,timestamps,text,processed_text,tokens_len
SPEAKER_01,1.257, поступила заявка от вашего личного кабинета,поступать заявка личной кабинет,4
SPEAKER_01,9.762, дайте заявку на оформление кредита вы не оформляли все верно,давать заявка оформление кредит оформлять весь верный,7
SPEAKER_01,16.92, согласны что наша статья на данную заявку как неправомерно подскажите как давно использовали мобильное приложение сбер онлайн,согласный статья данный заявка неправомерный подсказывать давно использовать мобильный приложение сбер онлайн,12
SPEAKER_01,28.949, афина данное приложение вы не используете все верно,афин данный приложение использовать весь верный,6
SPEAKER_01,36.104, хорошо в таком случае информирован о том что система десять минут поступила заявка из вашего личного кабинета года назад за подозрения у банка так как было подано не из вашего видео на похудение скажите возможно имеются доверенные лица комитета вашему личному кабинету у вас нет,случай информировать система десять минута поступать заявка личной кабинет назад подозрение банк подавать видео похудение сказать возможно иметься доверенный лицо комитет личной кабинет,23
SPEAKER_01,53.587, хорошо также подскажите карты банка не были утеряны либо же украдены,также подсказывать карта банк утерять либо украсть,7
SPEAKER_00,64.08, карты находятся прямо все верно,карта находиться прямо весь верный,5
SPEAKER_01,67.458, в таком случае нашего соответствие темы по регламента банка мы обязаны заполнить заявку по факту мошенничества по вашему личному кабинету сложив в последнее время участились мошеннические атаки насчёт ответа вашего банка вам удобно будет обратиться в отделение банка для получения пластиковой продукции обновлённое,случай соответствие тема регламент банк обязанный заполнять заявка факт мошенничество личной кабинет слагать последний время учащаться мошеннический атака насчет ответ банк удобно обращаться отделение банк получение пластиковый продукция обновлять,29
SPEAKER_00,86.965, когда звук смысл менять карту,звук смысл менять карта,4
SPEAKER_01,94.019, дело в том что возможно третий вид иметь доступ к вашему личному кабинету соответственно к вашим финансовым счетам кстати необходимо будет выглядеть ваша пластиковая карта так такой же ними более не является безопасным так как они отображаются у вас в личном кабинете поэтому их необходимо перевозить подскажите когда удобно,дело возможно третий иметь доступ личный кабинет соответственно финансовый счет кстати необходимо выглядеть пластиковый карта являться безопасный отображаться личный кабинет поэтому необходимо перевозить подсказывать удобно,25
SPEAKER_00,112.26, будет кредит в банке все карты надо перевыпустить да,кредит банка карта перевыпускать,4
SPEAKER_00,118.11, я которое отображается у вас в мобильном банке,который отображаться мобильный банк,4
SPEAKER_01,122.82, на данном этапе карты в режиме он-лайн мы вас выпустим то есть отображаться во вселенной уже обновлённые реквизиты а самые пластиковые носителя необходимо будет,данный этап карта режим лайн выпускать отображаться вселенная обновлять реквизит самый пластиковый носитель необходимо,14
SPEAKER_01,138.63, подскажите в таком случае по какому адресу куда вам будет удобнее обратиться в отделение банка по какому адресу,подсказывать случай адрес удобно обращаться отделение банк адрес,8
SPEAKER_00,154.837, ну там отделений же много воды город домодедово однажды,отделение вода город домодедово однажды,5
SPEAKER_01,203.116, по комплексу туполева академика туполева,комплекс туполев академик туполев,4
SPEAKER_01,210.69, хорошо в таком случае направляя заявку на перевыпуск пожелать выбрался на данное отделение сразу вам интернет сообщения значит данные код никому не передавать когда подойдёт для выделения банка штатные сотрудники выдадут вам обновлённой картой по данному поводу защита по сроку действия вашей карты систем отображается сообщение вам нужно было направлено проверьте его сейчас пожалуйста,случай направлять заявка перевыпуск пожелать выбираться данный отделение сразу интернет сообщение значит данный никто передавать подходить выделение банк штатный сотрудник выдавать обновлять карта данный повод защита срок действие карта система отображаться сообщение нужно направлять проверять пожалуйста,36
SPEAKER_01,245.16, хорошо наш уважаемый клиент обязан вас проинформировать что сотрудники банка никогда не скажут ваших личных данных хаген порочит наш прибор и паспортные данные показывают сбербанке работает роботизированная система фиксатора также на данном этапе нам необходимо обезопасить вашу палочку она сидит в режиме онлайн для этого необходимо произведений а вот как лето нашего банка то ли задать вам ряд вопросов,уважаемый клиент обязанный проинформировать сотрудник банк сказать личный данные хаген порочить прибор паспортный данные показывать сбербанк работать роботизированный система фиксатор также данный этап необходимо обезопасить палочка сидеть режим онлайн необходимо произведение лето банк задавать вопрос,35
